year_film,year,ceremony,award,nominee,film,winner
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Rebecca Hall,Vicky Cristina Barcelona,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Frances McDormand,Burn After Reading,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,Mamma Mia!,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Thompson,Last Chance Harvey,False
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Colin Farrell,In Bruges,True
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Javier Bardem,Vicky Cristina Barcelona,False
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Franco,Pineapple Express,False
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Brendan Gleeson,In Bruges,False
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dustin Hoffman,Last Chance Harvey,False
2008,2009,66,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Winslet,"Reader, The",True
2008,2009,66,Best Performance by an Actress in a Supporting Role in any Motion Picture,Penélope Cruz,Vicky Cristina Barcelona,False
2008,2009,66,Best Performance by an Actress in a Supporting Role in any Motion Picture,Viola Davis,Doubt,False
2008,2009,66,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marisa Tomei,The Wrestler,False
2008,2009,66,Best Performance by an Actress in a Supporting Role in any Motion Picture,Amy Adams,Doubt,False
2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Heath Ledger,"Dark Knight, The",True
2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Cruise,Tropic Thunder,False
2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robert Downey Jr.,Tropic Thunder,False
2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ralph Fiennes,"Duchess, The",False
2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Philip Seymour Hoffman,Doubt,False
2008,2009,66,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Laura Linney,John Adams,True
2008,2009,66,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Susan Sarandon,Bernard And Doris,False
2008,2009,66,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Judi Dench,Cranford,False
2008,2009,66,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Catherine Keener,"American Crime, An",False
2008,2009,66,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Shirley MacLaine,Coco Chanel,False
2008,2009,66,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Paul Giamatti,John Adams,True
2008,2009,66,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ralph Fiennes,Bernard And Doris,False
2008,2009,66,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kevin Spacey,Recount,False
2008,2009,66,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kiefer Sutherland,24,False
2008,2009,66,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Tom Wilkinson,Recount,False
2008,2009,66,Best Performance by an Actress In A Television Series - Drama,Anna Paquin,True Blood,True
2008,2009,66,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,"Closer, The",False
2008,2009,66,Best Performance by an Actress In A Television Series - Drama,Sally Field,Brothers & Sisters,False
2008,2009,66,Best Performance by an Actress In A Television Series - Drama,Mariska Hargitay,Law & Order,False
2008,2009,66,Best Performance by an Actress In A Television Series - Drama,January Jones,Mad Men,False
2008,2009,66,Best Performance by an Actor In A Television Series - Drama,Gabriel Byrne,In Treatment,True
2008,2009,66,Best Performance by an Actor In A Television Series - Drama,Michael C. Hall,Dexter,False
2008,2009,66,Best Performance by an Actor In A Television Series - Drama,Jon Hamm,Mad Men,False
2008,2009,66,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,False
2008,2009,66,Best Performance by an Actor In A Television Series - Drama,Jonathan Rhys Meyers,"Tudors, The",False
2008,2009,66,Best Performance by an Actress in a Television Series - Musical or Comedy,Tina Fey,30 Rock,True
2008,2009,66,Best Performance by an Actress in a Television Series - Musical or Comedy,America Ferrera,Ugly Betty,False
2008,2009,66,Best Performance by an Actress in a Television Series - Musical or Comedy,Debra Messing,"Starter Wife, The",False
2008,2009,66,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary-Louise Parker,Weeds,False
2008,2009,66,Best Performance by an Actress in a Television Series - Musical or Comedy,Christina Applegate,Samantha Who?,False
2008,2009,66,Best Performance by an Actor in a Television Series - Musical or Comedy,Alec Baldwin,30 Rock,True
2008,2009,66,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Carell,"Office, The",False
2008,2009,66,Best Performance by an Actor in a Television Series - Musical or Comedy,Kevin Connolly,Entourage,False
2008,2009,66,Best Performance by an Actor in a Television Series - Musical or Comedy,David Duchovny,Californication,False
2008,2009,66,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Shalhoub,Monk,False
2008,2009,66,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Laura Dern,Recount,True
2008,2009,66,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Melissa George,In Treatment,False
2008,2009,66,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rachel Griffiths,Brothers & Sisters,False
2008,2009,66,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Dianne Wiest,In Treatment,False
2008,2009,66,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Eileen Atkins,Cranford,False
2008,2009,66,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Tom Wilkinson,John Adams,True
2008,2009,66,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Neil Patrick Harris,How I Met Your Mother,False
2008,2009,66,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Denis Leary,Recount,False
2008,2009,66,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Piven,Entourage,False
2008,2009,66,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Blair Underwood,In Treatment,False
2009,2010,67,Best Performance by an Actress in a Motion Picture - Drama,Sandra Bullock,"Blind Side, The",True
2009,2010,67,Best Performance by an Actress in a Motion Picture - Drama,Emily Blunt,"Young Victoria, The",False
2009,2010,67,Best Performance by an Actress in a Motion Picture - Drama,Helen Mirren,"Last Station, The",False
2009,2010,67,Best Performance by an Actress in a Motion Picture - Drama,Carey Mulligan,"Education, An",False
2009,2010,67,Best Performance by an Actress in a Motion Picture - Drama,Gabourey Sidibe,Precious: Based On The Novel Push By Sapphire,False
2009,2010,67,Best Performance by an Actor in a Motion Picture - Drama,Jeff Bridges,Crazy Heart,True
2009,2010,67,Best Performance by an Actor in a Motion Picture - Drama,George Clooney,Up In The Air,False
2009,2010,67,Best Performance by an Actor in a Motion Picture - Drama,Colin Firth,A Single Man,False
2009,2010,67,Best Performance by an Actor in a Motion Picture - Drama,Morgan Freeman,Invictus,False
2009,2010,67,Best Performance by an Actor in a Motion Picture - Drama,Tobey Maguire,Brothers,False
2009,2010,67,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,Julie & Julia,True
2009,2010,67,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sandra Bullock,"Proposal, The",False
2009,2010,67,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Marion Cotillard,Nine,False
2009,2010,67,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julia Roberts,Duplicity,False
2009,2010,67,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,It's Complicated,False
2009,2010,67,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robert Downey Jr.,Sherlock Holmes,True
2009,2010,67,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Matt Damon,The Informant!,False
2009,2010,67,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Daniel Day-Lewis,Nine,False
2009,2010,67,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Joseph Gordon-Levitt,(500) Days of Summer,False
2009,2010,67,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Stuhlbarg,"Serious Man, A",False
2009,2010,67,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mo'Nique,Precious: Based On The Novel Push By Sapphire,True
2009,2010,67,Best Performance by an Actress in a Supporting Role in any Motion Picture,Vera Farmiga,Up In The Air,False
2009,2010,67,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anna Kendrick,Up In The Air,False
2009,2010,67,Best Performance by an Actress in a Supporting Role in any Motion Picture,Julianne Moore,A Single Man,False
2009,2010,67,Best Performance by an Actress in a Supporting Role in any Motion Picture,Penélope Cruz,Nine,False
2009,2010,67,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christoph Waltz,Inglourious Basterds,True
2009,2010,67,Best Performance by an Actor in a Supporting Role in any Motion Picture,Matt Damon,Invictus,False
2009,2010,67,Best Performance by an Actor in a Supporting Role in any Motion Picture,Woody Harrelson,"Messenger, The",False
2009,2010,67,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christopher Plummer,"Last Station, The",False
2009,2010,67,Best Performance by an Actor in a Supporting Role in any Motion Picture,Stanley Tucci,"Lovely Bones, The",False
2009,2010,67,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Drew Barrymore,Grey Gardens,True
2009,2010,67,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Jessica Lange,Grey Gardens,False
2009,2010,67,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Anna Paquin,The Courageous Heart of Irena Sendler,False
2009,2010,67,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Sigourney Weaver,Prayers For Bobby,False
2009,2010,67,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Joan Allen,Georgia O'Keeffe,False
2009,2010,67,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kevin Bacon,Taking Chance,True
2009,2010,67,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kenneth Branagh,Wallander: One Step Behind,False
2009,2010,67,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Chiwetel Ejiofor,Endgame,False
2009,2010,67,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Brendan Gleeson,Into The Storm,False
2009,2010,67,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jeremy Irons,Georgia O'Keeffe,False
2009,2010,67,Best Performance by an Actress In A Television Series - Drama,Julianna Margulies,The Good Wife,True
2009,2010,67,Best Performance by an Actress In A Television Series - Drama,Glenn Close,Damages,False
2009,2010,67,Best Performance by an Actress In A Television Series - Drama,January Jones,Mad Men,False
2009,2010,67,Best Performance by an Actress In A Television Series - Drama,Anna Paquin,True Blood,False
2009,2010,67,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,"Closer, The",False
2009,2010,67,Best Performance by an Actor In A Television Series - Drama,Michael C. Hall,Dexter,True
